Freshness,Review
0," Peppermint could have been at least good trash, but it decides to be an awkwardly-paced exercise in shallowness. If you want a high body count, step right in, but brains behind the brawns are sorely missed."
2," While the hidden agenda that eventually surfaces does strain credibility, Foster's ability to reign in the improbable ... allows this flight to deliver the requisite thrills."
2," As a romantic comedy, this film has nothing new to offer except the rise of a new comedy star, Awkwafina. "
2," Comedy riffs on wealth gap, race but relies on stereotypes."
0, Estevez means well. But having your heart in the right place is no excuse for insipid ineptitude.
2," Ralston seems to love living his life on the ragged edge of disaster, and Boyle's filmmaking rides that same narrow edge, to breathtaking effect."
2," The film works fine as stand-alone entertainment, but does irreparable harm to the series as a whole."
2," It's not that ""Hangover II"" is a notably bad movie. It's more that nothing in it seems to justify all the effort spent to add a new but nearly identical series of episodes to the original."
2," You simply haven't had this much fun at the multiplex in a long, long time."
2, Amy Sedaris suits up as everyone's favorite former-prostitute/drug addict-turned-high school student in the long-awaited--and quite funny--big-screen version of the cult TV series.
2," We see unadorned faces staring at the camera; afternoon shadows moving across a large, institutional-looking building; forlorn images of an abandoned amusement park; the misty, magical quiet of a swamp."
2," Throughout the documentary are gorgeous images of teenagers with goofy, full-of-hope smiles that make your heart ache."
2, A beautifully shot but aggressively menacing film that is at turns irresistibly sumptuous and hide-your-eyes-behind-your-hands disturbing.
0, The concept is much cooler than the execution.
2," Both [Gyllenhaal and Ledger] embody what that old Waylon and Willie song taught us -- 'Cowboys ain't easy to love, and they're harder to hold.'"
2," An unsubtle film for unsubtle times, all the better for not backing down with what it's trying to say or how it says it."
0," One long, extensively choreographed fight sequence in which ""mortal"" blows are delivered so often, and with so little lasting impact, that a brawl just becomes a brawl becomes a brawl."
2," One of Bergman's undisputed masterpieces is a seminal work of psychonalayis and metacinema, raising more complex questions about identity and role-playing than it could possibly answer, thus deliberately encouraging ambivalence and ambiguity."
0," Somehow that revolutionary, empowering message never got through to Dunn. His film seems sexually and psychologically arrested in the pathology that blocks coming out."
2," ... a frothy girl-power manifesto so briskly paced, sharply written and infectiously entertaining that its deficiencies seem as insignificant as a lightly chipped fingernail."
0, It's so disappointing for the director of Rosemary's Baby to have to stoop to something as desperate as pyrotechnics and nudity.
0, The film is put together too choppily to appreciate the bounce-off-walls athleticism of parkour.
0, Confirms the perception that only losers attend high-school reunions.
0," If Younger truly wanted to work out some fantasies on the big screen, Prime is the dullest, most unimaginative way he could've achieved that goal."
0," You can always expect a little embellishment for any horror film or thriller that claims to be based on a true story or actual events. This one, however, doesn't sell it."
0," Merely an excuse for the viewer to delight in the hilarity generated by Mr. Cable Guy breaking wind, vomiting, producing various gastric noises, etc."
2," On its own, 'Enough Said' is a sweet and charming little movie - but there's no question the loss of its beloved leading man lends the picture extra, unexpected pathos."
0," The story might perhaps be adequate for an animated film for children, with Thor, Odin and the others played by piglets. In the arena of movies about comic book superheroes, it is a desolate vastation."
2," While short on fresh ideas, the film works thanks to some strong performances and a script that provides just enough depth to render its characters more than just a collection of eccentricities."
1," If you thought the Oscar-winning 2004 drama Crash was heavy-handed, just wait until you see Crossing Over."
1," As fresh as [Gatlif's] view of flamenco may be, his dramatic ideas are excruciatingly trite."
0, What a mountain of crap this movie is.
2," When [it] remembers that it's supposed to be a sweet piece of hokum, when it has the wit to leave Attenborough and Wilson on the screen together and forget about its rash of putative improvements, it does offer well-scrubbed family fare."
0," The sex scenes are pretty hot, though their power is diminished by the characters' limited intelligence."
2, Perfectly enjoyable but perfectly forgettable.
2," The general playful tone... helps a great deal, and the cinematography and editing are appealingly glossy and smooth throughout."
0," It is, despite Spielberg's claims, neither a purehearted popcorn flick nor a Paul Verhoevenesque subversion, but something uneasily in between, cowed by the idea of the fanboy demographic."
2," For all its political pelting, this is most gripping when it focuses on the innocent people whose lives have been destroyed either by the terrorists or by this administration."
0," We have the feeling that Kemp/Thompson saw much of life through the bottom of a dirty glass and did not experience it with any precision. The film duplicates this sensation, not with much success."
0, A reconstituted blend of Ghostbusters meets Men In Black with a pinch of The X-Files.
2," While it's true that the problems of two little people don't amount to more than a hill of beans in Stalin's USSR, they're real enough to the people experiencing them. We feel for them, even if the world can't."
0," A doublethink cash grab, painting perpetrator as saviour and exploited victims on the fringes of society as empowering role models - figures of inspiration to make mainstream, uncritical audiences feel better about themselves."
2, Aire is a film about Mother Courage. [Full review in Spanish]
2, It might be best to let the big guy live happily ever after.
0, The film is so wadded full with ideas that they come squishing out the sides.
2," Much of the heavy lifting falls to Watson, and, in such moments as the one where she must wipe out her family's memories of her to protect them, she is more than up to the task."
2," Navel-gazing and listless, Mary Magdalene is nevertheless an affecting, contemplative hagiography of a biblical figure which is more inclined towards an arthouse aesthetic than anything in the ""faith-based"" sub-genre."
0," Lawrence reunites with her 'Hunger Games' director for a sadistic, sexed-up, Russian spy saga that is one long ""Nyet."" "
2," Made almost 50 years ago, the black-and-white French classic still grabs you by the throat."
2," The actors, particularly Seyfried and Redgrave, help make the movie's romantic spirit contagious."
0," While there are some nicely gory moments, the film feels rather uninspired ..."
0, A handsomely photographed movie of little consequence.
2, Damon is superbly silly in this comic version of A Beautiful Mind.
0," The film's greatest mystery turns out to be: Why, with so much talent, does Dark Water never cross the tipping point?"
0, What hurts it is Spielberg's dogged insistence on turning it into yet another of his seemingly endless middle-brow meditations on the travails of the middle-class family.
0, Krampus is a toothless film on several levels.
0," Trite characters, very well-worn clichés of SF cinema, and a mystery that is completely transparent. All about production design, and even that is familiar."
0, Another beautifully-made and serious-minded celebration of having nothing to say.
2," You'll never hear the phrase ""Mind the doors"" in the same way again."
2," It's clear that these guys were just having some fun making a movie, and that fun they had translates onto screen perfectly. "
2," Despite being marketed as historical fiction King Arthur story, this film is actually a high octane full on fantasy film that showcases Excalibur guiding Arthur to his destiny. And it's thrilling! "
0, The plot doesn't hold up but the chemistry between the two leads does
2," A breezy hour-and-ten-minutes long, this beautifully affecting film is less about these beloved characters than its aging filmmaker's wistful reminiscences of cinema itself and a long lifetime's worth of material pleasures."
2," If we can operate at the genius level in a given field, does that mean we must -- even if the cost is the sort of endless purgatory a Bobby Fischer has inhabited? It's an interesting question, and this movie doesn't avoid it."
2," Essential to maintaining the powerful atmospherics is the superb cast, which includes Nicole Kidman as the surgeon's unsuspecting wife."
2," What grounds the spectacle, pushing it beyond a two-hour ejaculation of sensation, is its yearning for innocence"
2, The performances are uniformly excellent.
0," The truth is that this film is mostly plain work, done by rote, like any introductory potions class. The real fun -- and thrills and tears -- come next year."
2," Capturing that particular age group, of those in their late 20s and early 30s, entering into adulthood with a certain reluctance and trepidation."
1, Ballard's sumptuous images exist only to distract from his rather conventional failings of craftsmanship.
2, Bring the spouse and live vicariously. 
0, Hickenlooper seems unsure what he wants his film to be. Is it a mid-life crisis film? Is it a marriage-in-trouble film? Or is it really classy neo-porn lite?
2," Kudos to Cuaron for crafting such a visually-captivating, surreal memoir of his troubled coming of age! "
0," Crass, offensive, vulgar, inane: there aren't enough adjectives to effectively convey the endless agony that is Humshakals."
2, Zootopia is filled with lovable characters and a heartfelt message for kids - along with a layered subtext for adults that is both timely and moving. 
0," The grand statement it wants to make plays shallow instead of deep, leaving the film too weak-kneed to carry the weight of its broken world."
2," This is a wilder, bigger thing than just another farmyard sink drama. There may be little you haven't seen elsewhere, but there's no denying the skill here."
2," Deliberate, uncompromising, and very sad, Bob Clark's quiet masterpiece is still one of the most inspired anti-war genre pics out there."
0, This self-promoting Hollywood film wants everyone to feel good about Hollywood...
0," Another empty, heavily voice-overed perfume commercial."
2," Pity the crowds expecting another cute comedy like ""Date Night"" who wind up at ""Crazy, Stupid, Love."" It'll be like asking for a burger and getting served escargot."
2," Like McCarthy's book, The Road is dark, bleak and nightmarish but also stirring and beautiful and optimistic: As long as life remains, the movie argues, there is always hope."
0," Just isn't clever or surprising enough: it's complicated but conventional, strikes no sparks...[and] fails to juggle its myriad tones successfully."
2," ... sharply observed, with an endearing quirky sense of humor and a genuine affection for its setting."
2," My mutant power (and the boxoffice tingle of $299 Million in one week) tells me ""The Last Stand"" is anything but last. It's not even likely to be penultimate."
0," Whatever Muse drives Malick, whose best work feels both found - in the sense of discovered in the shoot and edit - and profound, he could be accused of cheating on her in Knight of Cups, leapfrogging between unsatisfactory short-term conquests."
2," An endearingly straightforward, intimate character study and one that remains wholly relatable."
2," McDonagh has a way with a line that is without compare, and he has put together a cast who knows how to sock it home. Harrelson is excellent with a character who also takes unexpected turns that we aren't prepared for."
2," Irons and Patel create a bit of magic with their mathematical dance, so even when Brown's script bogs down in cliché and the female characters are swept into the corner of every scene, the viewer has something meaty to process."
0, An emotionally devastating documentary [...] falls apart toward the end when it loses all objectivity and descends into hagiography.
2, The easy charm of stars Miles Teller and Analeigh Tipton more than compensates for a screenplay that never quite bridges the divide between old-fashioned romance and the cruder tone that seems par for the course in modern comedy.
0, Simply awful...like a SyFy Network Saturday night special that's inexplicably escaped to the big screen.
2," You need to give ""Love Is Strange"" your eyes and ears and attention, let it work its effects on you gradually, like the lovely Chopin piano music that forms the spine of its soundtrack."
2, A convoluted tale of corruption within the ranks of the police
2, A Japanese film that draws out our respect and compassion for a man whose life is turned upside down by the early onset of Alzheimer's.
0, The worst film ever made in Scotland ...
0," One can't help but feel that the Disney-Depp partnership has taken the series as far as it can go in this form, and short of a large-scale overhaul of the franchise, it may be best to set these particular Pirates adrift for good."
1, Leaves behind almost as many derisive laughs as dead bodies.
0," The film moves at a snails pace and while it shows off a lot of beautiful scenery, it takes about 30 minutes for something to happen outside of the initial hubbaloo that sets Charlotte off in the first place."
0, The nice way to put it is to say it's the second best film of the franchise. It's also accurate to say that it's a pale imitation of the original that's worse on every level. 
2," Yes, you've seen much of it before, and the nervous James character is now officially a cliché. But Stewart makes you care anyway. This, folks, is an actress."
0, This isn't a movie. It's a Broadway musical captured on film.
2, a genuinely moving exploration of a complex mother-daughter relationship
0," Headstrong women might have been hard to find in turn-of-the-century Europe, but heroines like Tautou's are a dime a dozen in costume dramas, and there isn't enough material detailing what makes her Chanel a special case."
0," When the finale of your movie involves a twenty-minute fantasy battle between role-playing enthusiasts, it is safe to say you have lost your way."
0," An intriguing erotic thriller undone by a silly, generic ending."
0," Limp anthology has brief nudity, language, adult themes. "
2," It may be slight, but it's also very funny, occasionally insightful, and a welcome throwback to those hallowed school daze."
0, Penelope Cruz is outstanding in an otherwise lame male fantasy.
2," Bold and innovative, spiritually challenging--and some heads get chopped off."
0," It's a movie by dog lovers, for dog lovers, that's more concerned with being cute and cuddly than providing any meaningful insight or substance."
0," Not knowing whether to be a comedy or a drama and often failing at both, there's very little to recommend about this downer of a movie."
2, A warm and fun crowd pleaser.
0," Reeves y Bullock no interpretan el papel de su vida, sin embargo cumplen con las expectativas del público en un producto ligero de fin de semana."
2," The Wolf of Wall Street is a film that speaks to our times, and it is saying some very important things if we care to listen."
2," Ridley Scott's not made his third sci-fi masterpiece, but boy, has he come close."
0," Predictable romcom send-up has racy sex scenes, language."
0," In action, the film is breathtaking, but as a whole it suffers from a relative lack of ambition."
2, What in lesser hands could have become an immaculately observed period piece instead soars to creative heights with its literate and knowing script.
0," After the setup, the air leaks out of the movie, flattening its momentum with about an hour to go."
2," Captain Underpants: The First Epic Movie perfectly captures the goofy spirit of its source material. Plus, it has a theme song performed by Weird Al, so how can it go wrong?"
2," The Great Wall is not a groundbreaking film by any means, but at least it's fun"
0, (Scott) Derrickson uses a visual sledgehammer. That tilts everything toward horror and dilutes the terrifying power of the supernatural darkness. 
0," For all the fast cuts, the furious vibes, the faux sexiness, Torque is canned and mighty flat."
0, Rarely has a film felt so literally like a chore to watch.
0," In a word, it's soulless."
0," When the universe ""expands"" in this way, it actually makes it seem so much smaller."
0," Mind-numbing, formulaic twaddle."
2, Dafoe proves to have the right blend of ruggedness and sensitivity for this conflicted hero.
2," High-class hokum 600,000 feet in orbit"
2, The story's metaphysical slant lends the proceedings a haunting and ruminative air.
0," Phoenix has great production value, some nice special effects, some good acting, but overall impact wanes more than waxes. Long on time, short on internal struggle."
0," Expands a two-minute viral video into a feature-length dry procedural of city permits, bitty bat costumes, street closures and savvy social promotion"
2," If Bon Voyage ... didn't satiate your desire for films about the Nazi occupation of France in World War II, you're in luck. Another one has washed up on our shores, and it's even better."
2, The sequel to the most startling box-office smash of recent years collapses over the finishing line with barely a breath of air still in its lungs.
2," This document is a testament of the past, when things were done differently: The funny clothes, technical mishaps, AV effects and the fortunate non-existence of smartphones blocking the experience. [Full Review in Spanish]"
0," The movie Proud Mary might not be anything special in itself, but its heroine sure as hell is."
2," If you take even the slightest interest in politics, book for The Accidental Prime Minister now. It is a film that takes you through an important era in Indian politics and is also entertaining. "
2," An animated film that takes familiar Disney archetypes and twists them into vivid, imaginative shapes."
2," One of those genre-defying hybrids that are sometimes called dramedies, The Savages tiptoes along a particularly fraught emotional tightrope, balancing observant humor and deep sadness with uncommon grace."
0," The movie is eerily photographed, but never suspenseful or scary, and eventually, events descend into goat-sacrificing silliness."
0, Details feel wrong; the pace is skittish; the rise to fatal hysteria is rapid and unconvincing. Finally you just lose all faith in it.
2," This is one of those ""why-oh-why?"" movies where you want to turn away from the terrible decisions unfolding on screen - but can't."
0, This is a tedious tale badly told.
2," Despite all the outrageous comedy and raunchy bathroom jokes, [the Zuckers] create endearing characters that are likable."
0, Perfectly serviceable B-movie noir.
2," for lovers of all things violent and vengeful, The Equalizer is a treat"
0," A well-acted, but overlong, clunky, and underwhelming satire. "
0," It's a horror-comedy without much horror or comedy, because the seriousness of the protagonists' baggage saps away most of the humor, and the laid back filmmaking undercuts any opportunity for scares."
0," ""Suffragette"" feels like a documentary in its visuals, but at the same time drowns in subjectivity."
2, It's an amazing and touching true story that will have you on the edge of your seat and may even cause you to shed a tear or two.
0, A muddled revenge crime drama.
0," If there's a movie worse than this set for release this year, let's hope the distributor has the good sense not to do it."
0," It's a middle-of-the-road anthology but boasts great energy and a sense of humor that runs throughout, helping make even the mediocre entries watchable."
2," It's clean, has all the requisite eye candy and slapstick for the younger set, and -- most distinguishing of all -- an uncommon level of sophistication for the adults."
2," More informative than emotional, the documentary catches some of the angst involved in such an undertaking, but always appears to be engaging with the subjects at a respectful arm's length."
0," Structurally and narratively amputated, Volume 2 retains head and guts but loses its heart and gams to the second installment."
0," Much like the onslaught of sword-and-sandal epics, the comic-book-adaptation boom has resulted in a decreased effectiveness of the subjects."
0, David Frost's soft approach to Nixon got results. This doesn't.
2," The plot device of ""woman in trouble meets woman triumphant"" has grown a little long in the tooth lately but that doesn't mean it doesn't work."
2," On the whole, War is both a reasonable possible conclusion to the ape's arc and a solid preparation for whatever comes next."
0," Even though the film is marketed as a road movie for kids, it barely has any road in it and that's just the least of its flaws. [Full review in Spanish]"
2, A movie about the difficulties of being a teenager and the main problems that affect Mexican society with amazing performances. [Full review in Spanish]
2," A one-of-a-kind experience that will confound, befuddle and amaze."
2," The increasingly diverse French director has created a film that one can honestly describe as looking, sounding and simply feeling like no other film in recent history."
2," There are no surprises in this story, only the anticipation of justice being done one bad guy at a time until the final showdown."
0," Louis Zamperini's life would make a great movie, if only somebody knew how to make it."
2," A sweet, often poignant little film."
2," As an observer of the various dimensions and dynamics of families, [director Kore-eda Hirokazu] is a modern master."
0," Girault presents situations through an extreme romantized lense, full of warmness, dim lights and lacking any comunication or beleivability for the characters and the spectator. [Full review in Spanish]"
0," Rest assured, these crises will be resolved, and Helen will be enriched by the experiences. But going through them with her throws more sugar into your system than I can take."
1," It's not the actors that are the problem, it's the material they've been given. The dialogue, the antiquated sense of humor, the obviousness of so many plot mechanics."
2," Hunt for the Wilderpeople masks its earnest sweetness with a giggling distrust of authority, making it at once heartfelt and mischievous."
0, We spend 200 years developing an art form that breaks out of the musty auditoria of the 29th century and where does it get us? Right back where we started.
2," The auteur sees himself in the aviator, whose competence makes believers out of skeptics and who - in a critique of effects-driven blockbuster filmmaking - argues that 'computer simulations' mean nothing when divorced from the 'human' element. "
0, Defiance groans under the weight of its deadly earnestness: it's handsomely mounted yet strangely inert.
2," A brilliant follow up to Bispuri's ambitious debut, Daughter of Mine is an expertly crafted, richly told meditation on mother/daughter dynamics and what those roles truly mean"
0," The story hasn't changed much, nor have the characters. But the comedy is now crude instead of whimsical and its characters overblown caricatures instead of screwball personalities. A movie has been reduced to a sketch."
2," Gibney's movies are professional and solidly executed, informative if you go in underinformed but rarely surprising or aesthetically noteworthy."
2," A wonderfully quiet, serene portrait of Carthusian life edited to reflect the rhythm of the monastic regimen."
0," Like so many films by SNL alumni, it struggles to keep up the pace, and a few good scenes - or skits - are all you get."
2, It's pretty special stuff as offered up by Donoghue and director Lenny Abrahamson.
0," Musketeers isn't the worst picture Anderson has made in the last decade, but it's depressingly representative of his work -- he's always eager to dazzle, but clueless on how to engage."
0, Sentimental dreck of the fluffiest order.
0," This may be the best movie he's made. It's in French, by the way."
0," So cautious in dealing with the subject matter, so anxious to avoid the slightest hint of sensationalism, that it ends up exceedingly attractive to look at but curiously bland dramatically. "
0," ""In Dubious Battle"" marks an embrace of a kind of anonymous, fuddy-duddy traditionalist approach. In short, it's maybe James Franco's best-crafted film to date, and also maybe his dullest."
2, Has enough memorably disturbing images to stick in viewers' minds without any explanation needed.
2, (Tsui Hark's) romp plays exactly like the Sino-centric spin on an Indiana Jones adventure that its title suggests it should.
2, Matches documentary authenticity with dramatic intensity.
2," When they say they don't make movies like they used to, this is exactly the type of film they're talking about."
0," An unbelievably hokey, and, in spite of the terpsichore on display, resolutely lead-footed piece of mawkish melodrama."
0, A lackluster action-adventure.
2, The film's and Nancy's nonjudgmental tone gives it a distinctly modern feel.
2, There's enough of a storyline here to keep younger space cadets moderately settled.
2," Arthur is riddled with clichés, suffers from a trite - occasionally offensive - screenplay, and has flatter direction than any Russell Brand vehicle deserves. [But] I could watch [he] and ... Greta Gerwig flirt for hours on end."
2, Nanking doesn't tell us why decency and compassion completely break down from time to time. It just tells us something terribly modern and all too familiar.
2, It has 'cult' written all over it - and like most cults you'll either get it . . . or you won't. 
2," Richly entertaining and technically innovative, but it's also a movie with an outspoken point of view about the direction in which American culture ought to be headed."
0, The plot is simple and the movie doesn't live up to expectations. [full review in Spanish] 
0, So devoid of any spark that it feels like watching someone's boring vacation videos.
0," Forced jokes, ridiculous characters and a bad plot may get a laugh and maybe that's enough for many. [Full Review in Spanish]"
0," More of the same, yes, but it's the same stuff without the anarchic glee that permeated its predecessor."
0," A comedy, too exaggerated and repetitive, that has its best moments when they are unpredictable. [Full review in Spanish]"
2," ""The Revenant"" should be seen for its exquisite scenery, its realistic portrayal of men living 200 years ago in an unforgiving environment, and for Leo."
2," No, it's not a movie about two first ladies married to adulterous husbands."
0," ""A Bigger Splash""? More like a small trickle."
2," It's Sarah Polley through and through: slightly too glum for its own good, but reeking of quality and feeling."
0, Shanghai Noon was fun and Shanghai Knights is more of the same -- just not as much fun.
2," ...shallow, clichéd, sentimental, and derivative; but the cast makes up for the plot's deficiencies with an amiable charm that's hard to resist."
0," Given how obsessed we are with politics, we deserve better films about it and the men who shape our nation. "
2," With Geoffrey Rush as his star, Stanley Tucci (writing and directing) is able to capture a good likeness of Alberto Giacometti in this biopic... The artist's messy studio is a fine sight, too, and fans of cultured chit-chat will not mind lingering there."
2," Campion creates a nearly lethal dose of emotion-deprivation, turning spine tickling dread into something nearly dreadful."
0, A cringe-worthy confection...Mom deserves better.
2, A powerfully engaging coming-of-age immigration sports documentary-style drama. And this unpredictable genre mash-up is pure magic.
2," Utterly charming, graceful, and poignant. "
2, What gives these episodes cumulative impact is the group portrait that emerges of a well-meaning country in a state of drift.
2," Personal Shopper is an uncanny mix of ghost story and personal drama that never feels, even for a moment, like it's playing into any genre conventions whatsoever -- the film is entirely its own entity."
2," Written and directed with efficiency, cheer, and a refreshing lack of look-how-meta-clever-we-are egotism, the movie references just enough of the original touchstones and punchlines to please those who lived it the first time."
2," Director Niki Caro deftly intercuts Josey's story with the Anita Hill-Clarence Thomas hearings, a smart, subtle move to tie in the things all women have had to go through."
0," A disappointing sequel that can't replicate the most sensational, inspirational, celebrational, Muppetational qualities of the film that brought Jim Henson's creations back into the limelight."
2," Nice effects work, a relatively swift-moving narrative, sweet performances, and, by now, a well-worn premise prove inspiring this time out, and not deadening."
0," The film portrays this period as a golden era for journalism. In many ways it was a golden age, but the real heroes were the whistleblowers and reporters, and that's no slight to the real risks editors and publishers like Bradlee and Graham took."
2, A tense buildup and a frenetically-paced final act combine for a fitting tribute to those who perished and the survivors of the disastrous oil rig explosion and resulting spill.
0, It's an unintentionally comedic look at mankind's selfish disinterest toward anyone in danger -- except for family.
2, Cue multitudes of stolen moments.
0," More darkness than light, 'A Wrinkle in Time' has much to iron out."
0," [A] calculatedly emotional, sterilizingly cleancut drama."
2," Hallelujah, it's fun."
1, The biggest waste of talent of any movie this year.
0, Ever get the feeling the film you're watching wasn't actually finished?
2," Eighteen short films, each done by a different director with a different cast and set in a different neighborhood of Paris, Je T'aime is a remarkable achievement."
2," The narrative dares to break the insular hermeticism reflecting that triangular intercommunication between Sergio, Sergei and Peter. [Full review in Spanish]"
0," Few of the dialogue scenes match the expressiveness of Vargas's night-time street shuffle, or Jourdain's closing-credit solo."
2," Even though the screenplay strains credibility at times, and the music really isn't that great, the thoughtful premise is handled with sensitivity instead of crassness. "
2," Kenner's sympathies are clear - ""Don't let them stack the deck!"" the film proclaims - and ultimately Merchants of Doubt does a much better job of making you think than convincing you of what to think."
2, An endearing blend of myth and melodrama that forthrightly explores family abuse in its own society.
2," This movie often plays like a super-expensive, 22st-century version of one of those ""Star Wars"" knockoffs made around 2980 by people who weren't George Lucas."
0," Beck ... is very good on volume but not much for tension, suspense or frightening anyone."
2," To call The Hunt gripping would be like calling Annie Hall funny. It is, but it's also so much more than that."
2," Overall, Hummus! The Movie was informative and well-framed."
2," Wright has affectionately lampooned the horror and action genres in the past, but Baby Driver proves he is now a legitimate action director in his own right."
2," This is a slow-burning, very well acted film that contains, almost disconcertingly, a graphic sex scene, a strange star-cameo very late on, and something close to a Hollywood ending."
2," J-Lo, reminds us why she got to be famous in the first place."
2," Miracles from Heaven is manipulative, blunt, super-Christian propaganda that's dignified and deeply moving in its own way."
0," The more you think about it, the more you see all the subtextual tricks that were missed."
0, All told - and this film knows exactly who its audience is - a reminder of what famously enriching company habitual stoners are.
2," Indeed, it's the best movie comedy to come out of England since Monty Python packed up the circus."
2, Plays like an update of the time-honoured Full Monty formula - public exhibitionism vanquishes English emotional reserve - for a post-Glee world.
0," Woefully unsuitable for children with its decades-old nods to R-rated films, 'Hoodwinked Too! Hood vs. Evil' is a far cry from the much cleverer original."
0, All Mr. Woodcock gives us is mediocre comedy at its finest.
2," Although younger children will doubtless love it, Hotel for Dogs is too often cute for its own sake to really entertain anyone else."
0," As always, Hart unleashes his manic energy on the audience, but his heart doesn't seem to be in it the way it was in the original. Maybe he's getting tired of the shtick, too."
2," beyond the hype there is an interesting story here, and luckily, Morgan Spurlock found it."
0, Thriller movies should never make the audience feel safe. Bird box is a Bullock vehicle that lacks emotion. [Full review in Spanish]
0," The scenery ain't bad but the laughs are tumbleweed-sparse in ""The Ridiculous 6,"" a Western sendup so lazy and aimless, it barely qualifies as parody."
0, Srong on character and atmosphere but weak on story and excitement.
2," All these moments are held together by Stanton, who gets to have the final word on his career. The opening credits read ""Harry Dean Stanton is Lucky,"" and it's clear throughout the film that he was, and so were we."
0, The story reaches a critical mass of muddled implausibility when an already suspicious protagonist is revealed to be homicidally untrustworthy and the Cloverfield beastie gets a moment in the sun.
2, A movie star and his neglected daughter bond while partaking in the celeb-filled glamour of the Chateau Marmont.
0," In his attempt to spoof destination weddings of the bankrupt and the famous, Vikas Bahl, (who also directed that gem, Queen) forgot to take a script along."
0, Read the Wikipedia page. You'll learn more.
2, Chazelle tells Armstrong's story with certainty and verve.
2," Law tears into his role like he's like one of Shakespeare's most scabrous lost characters somehow unleashed in the modern world, and he clearly relishes the grit and the gristle."
2," With piercing hilarity, The Kindergarten Teacher dares us to work out for ourselves, from moment to moment, whether Lisa is a hero, a monster, or something in between."
2," Rozema's handling of the entangled amours and social gamesmanship at Mansfield Park is delightful...It's impure Austen, but potent moviemaking."
2," A genial, shambling portrait of a first, obsessive infatuation."
2," Uzumaki progresses like the life cycle of a butterfly, only the subjects begin as human beings and contort into giant snails, powerless to stop their bodies from betraying them."
2, Annie Hall expanded Woody Allen's canvas to incorporate real wisdom alongside the punchlines.
2," Superbly crafted Grisham potboiler runs for over two hours, feels like forty-five minutes."
2, Pleasantly goofy horror time-killer.
0, Identity doesn't outfox the audience; it just makes us feel like suckers.
2," Zodiac, the latest film from director David Fincher, is among his best"
0, The rare film that manages to be simultaneously bland and offensive.
0," Smith keeps the fog, mist and rain machines working overtime, but to such little purpose that Black Death often looks like outtakes from Fiddler on the Roof."
2," A gripping, political thriller packed with tremendous performances and supremely confident direction by George Clooney."
